stage,family,backend,split,seed,frac,corrupt_rate,n_train,n_test,epochs,seconds,macro_rmse,macro_nrmse,macro_r2,rmse_normal_only,rmse_sigma_rr,rmse_sigma_tt,rmse_sigma_zz,rmse_tau_rz,nrmse_sigma_rr,nrmse_sigma_tt,nrmse_sigma_zz,nrmse_tau_rz,r2_sigma_rr,r2_sigma_tt,r2_sigma_zz,r2_tau_rz,eq_res_median,bc_sigma_rr,bc_tau_rz,lambda_physics,lambda_bc,learning_rate,n_units,n_layers,eq_r_reduced,eq_z_full,eq_z_reduced,phys_gain,macro_nrmse_global,macro_r2_global,r2_normal_only,r2_normal_only_global,nrmse_sigma_rr_global,nrmse_sigma_tt_global,nrmse_sigma_zz_global,nrmse_tau_rz_global,error
main,mlp,torch,extrap:alpha_max,2,,,1377,379,328,123.3,12.918800693355587,0.36438449419931845,0.7907561060394455,17.01330495315642,8.038315861134661,11.05715345069587,31.944445547638736,0.6352879139530875,0.2171045972851801,0.16989765982632118,0.22871232547598902,0.8418233942097835,0.9528655938376372,0.9711347851855388,0.9476906721753645,0.29133337295924167,1840.9481313767956,4.1836947296620535,0.27666917185313783,0.0,0.0,0.003,96,3,,,,1.0,0.3507156481277731,0.7925464586976589,0.9572303503995134,0.965816535560287,0.17891172523270238,0.15673551407891143,0.21441773835160313,0.8527976148478755,
main,mlp,torch,extrap:alpha_max,3,,,1377,379,358,132.8,13.52377040933956,0.41449048050551807,0.7164593240019582,17.78220523753257,9.394005947019382,11.913479511839897,32.039130253738435,0.7484659247605273,0.25372004699182643,0.18305545803228762,0.22939023861387015,0.991796178384088,0.9356261377544619,0.9664906992845884,0.947380118428671,0.016340340540111686,2196.0031673395147,3.5079400707404735,0.2533848698591049,0.0,0.0,0.003,96,3,,,,1.0,0.3994346352956545,0.7180108747648608,0.9498323184892404,0.9605055976151498,0.20908581347912625,0.1688739641792066,0.21505328172042157,1.0047254818038636,
main,mlp,torch,extrap:alpha_max,0,,,1377,379,396,146.0,13.455043459176897,0.38403848908588667,0.773096110544738,17.72093463843967,9.115389397869125,12.614227052249289,31.433187465200586,0.6573699213885841,0.24619497149775213,0.19382272899180508,0.22505187612561778,0.8710843797283717,0.9393880360092177,0.9624327497261681,0.9493516530523389,0.24121200339122717,1976.729828885936,3.1891472376191348,0.25547266982999495,0.0,0.0,0.003,96,3,,,,1.0,0.36877943727601403,0.7759125797995386,0.9503908129292417,0.9607835893103771,0.20288454341858173,0.1788070836276562,0.21098606815445148,0.8824400539033668,
main,mlp,torch,extrap:alpha_max,1,,,1377,379,399,150.0,14.073272903325414,0.46130898422647937,0.614684089272362,18.467819905225472,8.907234114622806,11.32240563759916,35.17381996345445,0.8896318976252373,0.24057296438548179,0.17397336755884316,0.2518336449984207,1.1788559599631718,0.9421246488067786,0.9697332673802347,0.9365798152468086,-0.389701374344374,1951.5181975525034,3.6119864533188366,0.28035188910341363,0.0,0.0,0.003,96,3,,,,1.0,0.44726620454817306,0.6132566565149673,0.9494792438112739,0.9597323873413842,0.19825155542890052,0.16049547255829982,0.2360939686526458,1.194223821552846,
main,mlp,torch,extrap:alpha_max,4,,,1377,379,360,136.5,14.183842221146941,0.42685773670863775,0.7040522006030798,18.657713496910088,9.494906730569681,13.183864377686453,33.29436938247412,0.7622283938575017,0.2564452476877039,0.20257543817442097,0.23837736157812567,1.0100328993943004,0.9342358349383887,0.95896319184844,0.9431762334870507,-0.020166457861560128,2207.634828720812,5.278385500114918,0.20045333816525363,0.0,0.0,0.003,96,3,,,,1.0,0.41122298965063686,0.7058833322334306,0.9454584200912932,0.9568238162545599,0.2113315989862122,0.18688171146374824,0.22347870687524438,1.0231999412773425,
main,pinn,torch,extrap:alpha_max,3,,,1377,379,441,276.3,12.655112261801127,0.3844732584632087,0.749837259620872,16.63777579916896,7.920106515345463,10.518522759804467,31.47469812235695,0.7071216496976317,0.21391191453219288,0.16162138019421346,0.22534907956012754,0.9370106595663007,0.9542416928211693,0.9738785294641167,0.9492177923414026,0.1220110238567993,1178.9178939768956,1.7113989539331826,0.05751607930194135,0.3,0.5,0.003,96,3,,,,0.13483,0.3714678911459047,0.750257964875216,0.9591126715422296,0.9673538042983699,0.1762806967487347,0.14910040630800225,0.2112646962875234,0.9492257652393586,
main,pinn,torch,extrap:alpha_max,1,,,1377,379,434,293.6,12.902832116857686,0.380703250579769,0.7608111939657611,16.97456788405989,7.860072590218202,11.092873779650269,31.970757282311205,0.6876248152510701,0.2122904752452372,0.17044651720852536,0.22890070933806836,0.911175300527245,0.9549327541201489,0.970947984771483,0.9476044652645284,0.1697595717068845,1139.116424917354,1.4807045719877605,0.05695797453270386,0.3,0.5,0.003,96,3,,,,0.18015,0.36745857721856234,0.7616476802829018,0.9578284013853867,0.9662062293480033,0.17494449980119486,0.1572418509174748,0.21459434816729595,0.9230536099882839,
main,pinn,torch,extrap:alpha_max,0,,,1377,379,490,306.3,13.328501044065233,0.42050718629639294,0.693387371985531,17.508897884332516,8.494810138887985,11.464059734140784,32.567823779968776,0.7873105232633856,0.22943392199034726,0.17614994036436202,0.23317552033578692,1.0432693624950755,0.9473600754401245,0.9689711985096308,0.9456291767161342,-0.08841096272376525,1008.7925808229111,1.4363702931173024,0.05447506779449453,0.3,0.5,0.003,96,3,,,,0.20084,0.40676179355531744,0.6932710074943406,0.9539868168886297,0.9633525191073401,0.18907208471628392,0.16250342403892598,0.2186019822294471,1.0568696832366127,
main,pinn,torch,extrap:alpha_max,2,,,1377,379,800,486.3,12.610306334318206,0.3897711102053629,0.732930446464362,16.568273902478875,7.213189226141846,10.264328722952833,32.22730375834194,0.7364036298362016,0.1948189856105346,0.1577155854346969,0.2307375025620471,0.975812367214173,0.9620455628456803,0.9751257941109901,0.9467602049114285,0.047790223989348735,1045.052778064437,2.2313276808424582,0.16317864833699844,0.3,0.5,0.003,96,3,,,,0.13516,0.3777233553656084,0.7322661282081436,0.9613105206226997,0.9687542004462054,0.16054658104674344,0.14549719746954415,0.21631634127844732,0.9885333016676988,
main,pinn,torch,extrap:alpha_max,4,,,1377,379,477,294.0,13.767659945563693,0.4157294372321294,0.7096409903067811,18.10345183294107,8.801494040046958,11.201288675582607,34.30757278319364,0.7602842834315702,0.2377170606483955,0.17211235617796275,0.2456315837750068,1.0074567483271526,0.943490599076684,0.9703773368508691,0.939665125052181,-0.014969099752609294,1014.3497444368919,1.8440800986936783,0.08775548942928921,0.3,0.5,0.003,96,3,,,,0.18477,0.40138661015494054,0.7104450647353417,0.9511776869932446,0.9611282097596788,0.19589806005805188,0.15877863563548894,0.23027953806664664,1.0205902068595747,
